Title,Image,Excerpt,StorySlug,ExternalUrl,DisplayOrder,Content
Thanksgiving Impact Together,IMG_2119.jpg,"Thanks to Tree of Life and 90 CFC families, we delivered 142 Thanksgiving meals to families across Ashburn, Sterling, and Leesburg.",thanksgiving-impact-together,https://cfcwired.org/community/thanksgiving-impact-together/,10,"This Thanksgiving, we witnessed the incredible power of partnership and generosity in action. Thanks to Tree of Life, one of our newest faith partners, and 90 CFC families, we delivered 142 Thanksgiving meals to families in our community across Ashburn, Sterling, and Leesburg. This is what community looks like. This is what hope feels like. Together, we are reaching people with the love of Christ — one meal, one prayer, one family at a time."
Loving Your Neighbor,CFC-I-Love-My-Neighborhood-Yard-Sign-2.png,"Sonia's neighbors moved after 30 years; the family that bought the house chose it because of the I Love My Neighborhood yard sign. ""This little yard sign speaks volumes!""",loving_your_neighbor,https://cfcwired.org/community/loving_your_neighbor/,20,"Sonia Ballinger said that when her neighbors of 30 years moved, there was much interest in the house. But it was the first couple who had looked at the house that decided that they needed to live there. If someone loved their neighborhood so much as to put a sign in their yard, they wanted to be a part of that. They said it made them feel safe and it was very welcoming. When asked Sonia what it means to ""love your neighbor,"" she said, ""It means showing love and compassion for those in your community and finding a need and filling it."""
Welcome a New Neighbor,IMG_4680-scaled.jpg,"I had an opportunity to welcome a new neighbor — a single mother from Indonesia with two children. The whole experience moved me out from my comfort zone into a place of caring and love through Jesus.",welcome-new-neighbor,https://cfcwired.org/community/welcome-new-neighbor/,30,"I had an opportunity to welcome a new neighbor to the neighborhood. She is a single mother from Indonesia with two children, a boy 17 and a girl 14. When I approached her she was busy moving furniture from the driveway into the house. I offered my help and I handed her one of the CFC welcome bags. I could see the smile in her eyes and on her face as she accepted the welcome bag. The whole experience moved me out from my comfort zone into a place of caring and love through Jesus. — Stephen S., Ashburn"
The Ripple Effect,ILMN_sign_yard-scaled.jpg,"Sonia stopped by the I Love My Neighborhood table in the lobby — and now she's putting yard signs up, praying with the Bless Every Home app, and picking up a car magnet.",the-ripple-effect,https://cfcwired.org/community/the-ripple-effect/,40,"Sonia stopped by the I Love My Neighborhood table in the lobby. She regularly drives through a neighborhood with our yard signs, one on either side of the street and was excited to see where they came from. Now she's put one in her front yard, is praying for her neighbors using the Bless Every Home app and picking up a car magnet. Try one of our suggestions and see what God will do in your neighborhood!"
Bless Every Home,BEH.JPG,"If you are looking for a way to be a light for Jesus, I wholeheartedly recommend Bless Every Home. Each day I receive 5 households to pray for, along with a daily prayer suggestion.",bless-every-home-is-a-fun-way-to-pray-for-neighbors,https://cfcwired.org/community/bless-every-home-is-a-fun-way-to-pray-for-neighbors/,50,"If you are looking for a way to be a light for Jesus, I wholeheartedly recommend Bless Every Home. I start my day logging in to this site. Each day I receive 5 households to pray for, along with a daily prayer suggestion. It is easy to set up and I love seeing my neighbors' names, some that I know and some that I don't know. I love starting my day connecting with Jesus, thinking, and praying for my neighbors and it's a great way for me to participate in our I Love My Neighborhood Program. — Deborah"
Ideas,SimpleIdea.jpg,"Practical ways to keep fellowship going once you have a relationship with your neighbors — meals, walks, music, books, games, holidays.",ideas-for-continuing-fellowship,https://cfcwired.org/community/ideas-for-continuing-fellowship/,60,"Once you have a relationship with your neighbors: invite a couple of neighbors over for dinner; bring out the grill once a week or month and provide paper products and music; deliver chicken noodle soup when someone is ill; offer to water the yard or house plants when they go on vacation. What's your passion that can connect with your neighbors? Sports — coach a team. Food — host a chili cookoff. Walking — invite a neighbor to walk with you. Music — host a once-a-month back yard concert. Games — start a neighborhood game night."
Block Party,ILMN_block_party.jpg,"My neighbor Wanda and I wanted to get to know our neighbors better. We threw a Memorial Day block party — about 20 people came and we had a great time.",more-neighborhood-news,https://cfcwired.org/community/more-neighborhood-news/,70,"A few weeks before Memorial Day 2022 me and my neighbor, Wanda, were talking about how we would like to get to know our neighbors better. We came up with the idea of having a block party. My neighbor made up a flyer and I made up a sign to let the neighbors know when, where and what time to gather. We made it a potluck, lunchtime gathering. About 20 people came to it and we all had a great time. It was so impactful to learn more about each other's families. Now we have names to faces we see almost every day. — Stephen S., Ashburn"
Doggie Treats,doggie-treat.jpg,"Do you have a dog? See your neighbors walking theirs? A simple way to reach out is to give away dog treats — sourced from The Echo Barkery just a mile from our building.",let-us-help-you-share-the-love,https://cfcwired.org/community/let-us-help-you-share-the-love/,80,"Do you have a dog? Do you see your neighbors walking their dogs? A simple way to reach out is to give away dog treats. CFC can provide you with a set of doggy bags to give out in your neighborhood. We source our treats from The Echo Barkery just a mile from our building, where adults with disabilities are hired by Loudoun County to provide the service of baking and selling snacks for dogs. It's a great way to begin a conversation while you're out and about. — Amy F., Sterling"
Here's How You Can Help,cropped-favicon.png,"Become a Neighborhood Ambassador and welcome visitors from your neighborhood. Let us know you want to welcome new neighbors and we'll send you contact info and a sample email template.",heres-how-you-can-help,https://cfcwired.org/community/heres-how-you-can-help/,90,"Become a Neighborhood Ambassador and welcome visitors from your neighborhood! Let us know that you want to welcome visitors from your neighborhood, and we'll send you the contact information they give us and even a sample email template, so you can reach out. ""Holy Spirit, thank You that You know exactly how we can pray effectively for every geographic area."" — Beni Johnson"
